"burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","03-11","03-12","04-01","04-02","04-03","04-04"
"04-06","1","0","0",0,0,0,0,0,0
"04-07","1","0","0",0,0,0,0,0,0
"03-05","0","1","0",0,0,0,0,0,0
"03-06","0","1","0",0,0,0,0,0,0
"03-07","0","1","0",0,0,0,0,0,0
"03-08","0","1","0",0,0,0,0,0,0
"04-04","0","1","0",0,0,0,0,0,0
"04-05","0","1","0",0,0,0,0,0,0
"04-06","0","1","0",0,0,0,0,0,0
"04-07","0","1","0",0,0,0,0,0,0
"03-05","1","1","0",0,0,0,0,0,0
"03-06","1","1","0",0,0,0,0,0,0
"03-07","1","1","0",0,0,0,0,0,0
"03-08","1","1","0",0,0,0,0,0,0
"04-04","1","1","0",0,0,0,0,0,0
"04-05","1","1","0",0,0,0,0,0,0
"04-06","1","1","0",0,0,0,0,0,0
"04-07","1","1","0",0,0,0,0,0,0
"03-05","0","0","1",0,0,0,0,0,0
"03-06","0","0","1",0,0,0,0,0,0
"03-07","0","0","1",0,0,0,0,0,0
"03-08","0","0","1",0,0,0,0,0,0
"04-04","0","0","1",0,0,0,0,0,0
"04-05","0","0","1",0,0,0,0,0,0
"04-06","0","0","1",0,0,0,0,0,0
"04-07","0","0","1",0,0,0,0,0,0
"03-05","1","0","1",0,0,0,0,0,0
"03-06","1","0","1",0,0,0,0,0,0
"03-07","1","0","1",0,0,0,0,0,0
"03-08","1","0","1",0,0,0,0,0,0
"04-04","1","0","1",0,0,0,0,0,0
"04-05","1","0","1",0,0,0,0,0,0
"04-06","1","0","1",0,0,0,0,0,0
"04-07","1","0","1",0,0,0,0,0,0
"03-05","0","1","1",0,0,0,0,0,0
"03-06","0","1","1",0,0,0,0,0,0
"03-07","0","1","1",0,0,0,0,0,0
"03-08","0","1","1",0,0,0,0,0,0
"04-04","0","1","1",0,0,0,0,0,0
"04-05","0","1","1",0,0,0,0,0,0
"04-06","0","1","1",0,0,0,0,0,0
"04-07","0","1","1",0,0,0,0,0,0
"03-05","1","1","1",0,0,0,0,0,0
"03-06","1","1","1",0,0,0,0,0,0
"03-07","1","1","1",0,0,0,0,0,0
"03-08","1","1","1",0,0,0,0,0,0
"04-04","1","1","1",0,0,0,0,0,0
"04-05","1","1","1",0,0,0,0,0,0
"04-06","1","1","1",0,0,0,0,0,0
"04-07","1","1","1",0,0,0,0,0,0
